"id_libro","Sesso","Eta_Autore","fascia_eta","nome_editore","Anno","Titolo","genere","Provincia_Editore","Regione_Editore","Stato_Editore"
"1","Maschio","25","Giovane","Italiano Editore","2020","Il Segreto del Vento","Romanzo","Teramo","Abruzzo","Italia"
"2","Maschio","26","Giovane","Francese Editions","2019","La Magia Oscura","Fantasy","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"3","Maschio","27","Giovane","Ediciones Espanolas","2021","L'Ultimo Inverno","Thriller","Barcelona","Catalonia","Spagna"
"4","Maschio","48","Adulto","Italiano Editore","2018","Ombre nella Notte","Romanzo","Teramo","Abruzzo","Italia"
"5","Maschio","46","Adulto","Francese Editions","2022","Risveglio","Fantasy","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"6","Femmina","47","Adulto","Deutsche Verlag","2017","Il Codice Perduto","Mistero","Munich","Bavaria","Germania"
"7","Femmina","68","Anziano","United Kingdom Press","2023","L'Incanto del Mare","Avventura","London","England","Regno Unito"
"8","Femmina","70","Anziano","American Publishers","2015","Oltre il Confine","Sci-Fi","Los Angeles","California","Stati Uniti"
"9","Femmina","69","Anziano","Deutsche Verlag","2016","L'Ultima Frontiera","Mistero","Munich","Bavaria","Germania"
"10","Femmina","71","Anziano","United Kingdom Press","2022","Segreti del Passato","Avventura","London","England","Regno Unito"
"11","Femmina","47","Adulto","American Publishers","2019","Notte Infinita","Sci-Fi","Los Angeles","California","Stati Uniti"
"12","Femmina","68","Anziano","Deutsche Verlag","2020","Cronache del Futuro","Mistero","Munich","Bavaria","Germania"
"13","Femmina","70","Anziano","United Kingdom Press","2018","Sotto le Stelle","Avventura","London","England","Regno Unito"
"14","Femmina","69","Anziano","American Publishers","2021","Invisibile","Thriller","Los Angeles","California","Stati Uniti"
"15","Femmina","71","Anziano","Deutsche Verlag","2014","Risveglio dei Titani","Fantasy","Munich","Bavaria","Germania"
"16","Femmina","47","Adulto","United Kingdom Press","2013","Ombre del Passato","Romanzo","London","England","Regno Unito"
"17","Femmina","68","Anziano","American Publishers","2011","Viaggio nel Tempo","Romanzo","Los Angeles","California","Stati Uniti"
"18","Femmina","70","Anziano","Deutsche Verlag","2012","Nebbia del Mattino","Mistero","Munich","Bavaria","Germania"
"19","Femmina","69","Anziano","United Kingdom Press","2010","L'Alba del Destino","Fantasy","London","England","Regno Unito"
"20","Femmina","71","Anziano","American Publishers","2014","L'Ultimo Viaggio","Sci-Fi","Los Angeles","California","Stati Uniti"
"21","Maschio","25","Giovane","Mondadorium","2014","asperiores sed corporis","Romanzo","Biella","Piemonte","Italia"
"22","Maschio","27","Giovane","United Kingdom Press","2002","accusantium adipisci minus","Romanzo","London","England","Regno Unito"
"23","Maschio","25","Giovane","Ediciones Espanolas","1989","consequatur voluptates maiores","Romanzo","Barcelona","Catalonia","Spagna"
"24","Maschio","26","Giovane","Mondadorium","2009","perspiciatis distinctio magni","Romanzo","Biella","Piemonte","Italia"
"25","Maschio","25","Giovane","United Kingdom Press","1981","quos necessitatibus ratione","Romanzo","London","England","Regno Unito"
"26","Maschio","27","Giovane","Italiano Editore","2019","optio placeat eaque","Romanzo","Teramo","Abruzzo","Italia"
"27","Maschio","25","Giovane","Ediciones Espanolas","2006","ex veniam reprehenderit","Romanzo","Barcelona","Catalonia","Spagna"
"28","Maschio","26","Giovane","Francese Editions","1975","odit adipisci doloribus","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"29","Maschio","27","Giovane","Mondadorium","2023","nemo delectus voluptatum","Romanzo","Biella","Piemonte","Italia"
"30","Maschio","26","Giovane","Francese Editions","2006","eligendi unde amet","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"31","Maschio","27","Giovane","Ediciones Espanolas","2023","alias amet ut","Romanzo","Barcelona","Catalonia","Spagna"
"32","Maschio","26","Giovane","Ediciones Espanolas","1979","magni soluta accusantium","Romanzo","Barcelona","Catalonia","Spagna"
"33","Maschio","25","Giovane","Mondadorium","1997","quis ut nostrum","Romanzo","Biella","Piemonte","Italia"
"34","Maschio","25","Giovane","Francese Editions","2001","eaque dignissimos incidunt","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"35","Maschio","27","Giovane","American Publishers","2000","aliquam voluptatibus tempora","Romanzo","Los Angeles","California","Stati Uniti"
"36","Maschio","25","Giovane","Francese Editions","1988","quis doloribus magnam","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"37","Maschio","26","Giovane","American Publishers","1978","porro quis hic","Romanzo","Los Angeles","California","Stati Uniti"
"38","Maschio","26","Giovane","Deutsche Verlag","1982","sint debitis voluptatibus","Romanzo","Munich","Bavaria","Germania"
"39","Maschio","26","Giovane","Italiano Editore","2012","incidunt saepe architecto","Romanzo","Teramo","Abruzzo","Italia"
"40","Maschio","26","Giovane","Mondadorium","1977","quibusdam quas architecto","Romanzo","Biella","Piemonte","Italia"
"41","Maschio","26","Giovane","Mondadorium","2010","molestias quidem iste","Romanzo","Biella","Piemonte","Italia"
"42","Maschio","26","Giovane","Francese Editions","2021","in iusto repellendus","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"43","Maschio","26","Giovane","Francese Editions","2012","quaerat unde nostrum","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"44","Maschio","25","Giovane","Deutsche Verlag","2013","veritatis beatae quidem","Romanzo","Munich","Bavaria","Germania"
"45","Maschio","25","Giovane","United Kingdom Press","1987","reiciendis ullam est","Romanzo","London","England","Regno Unito"
"46","Maschio","26","Giovane","United Kingdom Press","2020","tempore modi reiciendis","Romanzo","London","England","Regno Unito"
"47","Maschio","26","Giovane","Mondadorium","2005","libero culpa ducimus","Romanzo","Biella","Piemonte","Italia"
"48","Maschio","27","Giovane","Italiano Editore","2014","eum occaecati tempore","Romanzo","Teramo","Abruzzo","Italia"
"49","Maschio","27","Giovane","United Kingdom Press","2012","deserunt necessitatibus repellendus","Romanzo","London","England","Regno Unito"
"50","Maschio","27","Giovane","Mondadorium","2019","neque accusamus neque","Romanzo","Biella","Piemonte","Italia"
"51","Maschio","25","Giovane","Italiano Editore","2023","facere debitis nisi","Romanzo","Teramo","Abruzzo","Italia"
"52","Maschio","27","Giovane","Francese Editions","1996","atque libero accusantium","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"53","Maschio","27","Giovane","Italiano Editore","2018","ad non praesentium","Romanzo","Teramo","Abruzzo","Italia"
"54","Maschio","27","Giovane","Italiano Editore","2019","odio esse numquam","Romanzo","Teramo","Abruzzo","Italia"
"55","Maschio","27","Giovane","American Publishers","1993","aut temporibus fugit","Romanzo","Los Angeles","California","Stati Uniti"
"56","Maschio","25","Giovane","Francese Editions","1995","tempora sapiente velit","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"57","Maschio","27","Giovane","United Kingdom Press","2010","fugiat unde nihil","Romanzo","London","England","Regno Unito"
"58","Maschio","26","Giovane","Deutsche Verlag","1997","nulla nihil nobis","Romanzo","Munich","Bavaria","Germania"
"59","Maschio","25","Giovane","Italiano Editore","2022","commodi impedit ipsum","Romanzo","Teramo","Abruzzo","Italia"
"60","Maschio","26","Giovane","Deutsche Verlag","1992","ratione ad occaecati","Romanzo","Munich","Bavaria","Germania"
"61","Maschio","27","Giovane","Deutsche Verlag","1985","facere molestiae magni","Romanzo","Munich","Bavaria","Germania"
"62","Maschio","26","Giovane","Ediciones Espanolas","2002","quaerat enim tempora","Romanzo","Barcelona","Catalonia","Spagna"
"63","Maschio","25","Giovane","United Kingdom Press","2019","delectus corporis corrupti","Romanzo","London","England","Regno Unito"
"64","Maschio","27","Giovane","United Kingdom Press","2019","architecto officia fugiat","Romanzo","London","England","Regno Unito"
"65","Maschio","25","Giovane","Mondadorium","1983","expedita libero aperiam","Romanzo","Biella","Piemonte","Italia"
"66","Maschio","27","Giovane","Mondadorium","2020","amet placeat soluta","Romanzo","Biella","Piemonte","Italia"
"67","Maschio","25","Giovane","Ediciones Espanolas","2016","eveniet laudantium provident","Romanzo","Barcelona","Catalonia","Spagna"
"68","Maschio","25","Giovane","Mondadorium","1984","a aliquam repudiandae","Romanzo","Biella","Piemonte","Italia"
"69","Maschio","27","Giovane","Italiano Editore","2004","nulla debitis ipsa","Romanzo","Teramo","Abruzzo","Italia"
"70","Maschio","27","Giovane","Mondadorium","2020","quas eos voluptatibus","Romanzo","Biella","Piemonte","Italia"
"71","Maschio","25","Giovane","American Publishers","2000","ullam provident unde","Romanzo","Los Angeles","California","Stati Uniti"
"72","Maschio","25","Giovane","Mondadorium","2021","quos animi ipsum","Romanzo","Biella","Piemonte","Italia"
"73","Maschio","27","Giovane","American Publishers","2014","totam velit reprehenderit","Romanzo","Los Angeles","California","Stati Uniti"
"74","Maschio","27","Giovane","Italiano Editore","2016","pariatur quos pariatur","Romanzo","Teramo","Abruzzo","Italia"
"75","Maschio","25","Giovane","American Publishers","1992","dolor asperiores quibusdam","Romanzo","Los Angeles","California","Stati Uniti"
"76","Maschio","26","Giovane","Mondadorium","2024","consequuntur cum eius","Romanzo","Biella","Piemonte","Italia"
"77","Maschio","27","Giovane","Francese Editions","1991","delectus iusto totam","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"78","Maschio","25","Giovane","Francese Editions","1993","voluptas error modi","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"79","Maschio","27","Giovane","Francese Editions","1981","animi sed repellat","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"80","Maschio","27","Giovane","Mondadorium","1984","totam veniam nihil","Romanzo","Biella","Piemonte","Italia"
"81","Maschio","26","Giovane","Deutsche Verlag","1997","fugiat officia officiis","Romanzo","Munich","Bavaria","Germania"
"82","Maschio","25","Giovane","Mondadorium","2016","quisquam hic nisi","Romanzo","Biella","Piemonte","Italia"
"83","Maschio","27","Giovane","Deutsche Verlag","1988","quam assumenda a","Romanzo","Munich","Bavaria","Germania"
"84","Maschio","25","Giovane","Deutsche Verlag","2016","placeat praesentium distinctio","Romanzo","Munich","Bavaria","Germania"
"85","Maschio","26","Giovane","Ediciones Espanolas","1996","nesciunt dignissimos nostrum","Romanzo","Barcelona","Catalonia","Spagna"
"86","Maschio","25","Giovane","Francese Editions","2021","neque voluptate quam","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"87","Maschio","27","Giovane","Deutsche Verlag","1979","error commodi nobis","Romanzo","Munich","Bavaria","Germania"
"88","Maschio","27","Giovane","United Kingdom Press","2024","atque pariatur nesciunt","Romanzo","London","England","Regno Unito"
"89","Maschio","25","Giovane","Taurinorum Editore","2021","aperiam omnis ratione","Romanzo","Torino","Piemonte","Italia"
"90","Maschio","27","Giovane","Ediciones Espanolas","1989","eaque nobis cumque","Romanzo","Barcelona","Catalonia","Spagna"
"91","Maschio","25","Giovane","Mondadorium","1979","amet animi officiis","Romanzo","Biella","Piemonte","Italia"
"92","Maschio","25","Giovane","American Publishers","2024","fugiat quidem itaque","Romanzo","Los Angeles","California","Stati Uniti"
"93","Maschio","26","Giovane","Francese Editions","2011","repellendus esse repudiandae","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"94","Maschio","26","Giovane","United Kingdom Press","1999","modi vitae eum","Romanzo","London","England","Regno Unito"
"95","Maschio","26","Giovane","Deutsche Verlag","1993","odit molestias rerum","Romanzo","Munich","Bavaria","Germania"
"96","Maschio","26","Giovane","Taurinorum Editore","2013","maxime ut eaque","Romanzo","Torino","Piemonte","Italia"
"97","Maschio","25","Giovane","Ediciones Espanolas","2024","ducimus assumenda numquam","Romanzo","Barcelona","Catalonia","Spagna"
"98","Maschio","27","Giovane","Deutsche Verlag","2021","veniam totam itaque","Romanzo","Munich","Bavaria","Germania"
"99","Maschio","27","Giovane","United Kingdom Press","2010","rerum nostrum delectus","Romanzo","London","England","Regno Unito"
"100","Maschio","25","Giovane","Mondadorium","1986","aperiam dolores occaecati","Romanzo","Biella","Piemonte","Italia"
"101","Maschio","26","Giovane","United Kingdom Press","2001","nostrum cum at","Romanzo","London","England","Regno Unito"
"102","Maschio","25","Giovane","Ediciones Espanolas","1980","fugiat quasi sunt","Romanzo","Barcelona","Catalonia","Spagna"
"103","Maschio","26","Giovane","Francese Editions","2019","tempora ullam unde","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"104","Maschio","26","Giovane","Deutsche Verlag","2012","laborum ratione officia","Romanzo","Munich","Bavaria","Germania"
"105","Maschio","26","Giovane","Italiano Editore","2001","quae sit nisi","Romanzo","Teramo","Abruzzo","Italia"
"106","Maschio","26","Giovane","American Publishers","1992","quia accusamus totam","Romanzo","Los Angeles","California","Stati Uniti"
"107","Maschio","26","Giovane","Francese Editions","1999","ex atque praesentium","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"108","Maschio","26","Giovane","Deutsche Verlag","2010","ullam mollitia maiores","Romanzo","Munich","Bavaria","Germania"
"109","Maschio","27","Giovane","Taurinorum Editore","2015","accusamus dolor dolor","Romanzo","Torino","Piemonte","Italia"
"110","Maschio","25","Giovane","Ediciones Espanolas","1985","odio eos aliquid","Romanzo","Barcelona","Catalonia","Spagna"
"111","Maschio","27","Giovane","American Publishers","1990","tempora eligendi ad","Romanzo","Los Angeles","California","Stati Uniti"
"112","Maschio","25","Giovane","American Publishers","2002","explicabo atque totam","Romanzo","Los Angeles","California","Stati Uniti"
"113","Maschio","26","Giovane","Ediciones Espanolas","1980","adipisci vitae non","Romanzo","Barcelona","Catalonia","Spagna"
"114","Maschio","26","Giovane","Francese Editions","2010","velit sunt ex","Romanzo","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"115","Maschio","26","Giovane","Ediciones Espanolas","2000","est molestiae odit","Romanzo","Barcelona","Catalonia","Spagna"
"116","Maschio","26","Giovane","Italiano Editore","1986","dolore enim aperiam","Romanzo","Teramo","Abruzzo","Italia"
"117","Maschio","27","Giovane","Taurinorum Editore","2013","nulla natus perferendis","Romanzo","Torino","Piemonte","Italia"
"118","Maschio","27","Giovane","American Publishers","1989","temporibus veritatis dolores","Romanzo","Los Angeles","California","Stati Uniti"
"119","Maschio","26","Giovane","Ediciones Espanolas","1989","quaerat expedita occaecati","Romanzo","Barcelona","Catalonia","Spagna"
"120","Maschio","25","Giovane","Deutsche Verlag","2007","rerum facere minima","Romanzo","Munich","Bavaria","Germania"
"122","Femmina","47","Adulto","Francese Editions","1992","odio vero suscipit","Fantasy","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"123","Maschio","46","Adulto","Deutsche Verlag","1994","error nam facilis","Fantasy","Munich","Bavaria","Germania"
"124","Femmina","47","Adulto","Francese Editions","2002","eius enim autem","Fantasy","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"125","Femmina","47","Adulto","United Kingdom Press","1982","asperiores voluptatem dolores","Fantasy","London","England","Regno Unito"
"126","Maschio","48","Adulto","Francese Editions","2014","mollitia iusto nesciunt","Fantasy","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"127","Femmina","47","Adulto","Mondadorium","1981","officia sunt tenetur","Fantasy","Biella","Piemonte","Italia"
"128","Femmina","47","Adulto","Mondadorium","2009","rem delectus provident","Fantasy","Biella","Piemonte","Italia"
"129","Femmina","47","Adulto","Taurinorum Editore","2009","id voluptates sapiente","Fantasy","Torino","Piemonte","Italia"
"130","Femmina","47","Adulto","Deutsche Verlag","1990","excepturi animi facere","Fantasy","Munich","Bavaria","Germania"
"131","Maschio","48","Adulto","United Kingdom Press","2012","consequatur dignissimos natus","Fantasy","London","England","Regno Unito"
"132","Maschio","46","Adulto","Ediciones Espanolas","1982","dolorem assumenda perspiciatis","Fantasy","Barcelona","Catalonia","Spagna"
"133","Maschio","48","Adulto","Francese Editions","1982","itaque libero expedita","Fantasy","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"134","Femmina","47","Adulto","Italiano Editore","2020","dignissimos tenetur consequuntur","Fantasy","Teramo","Abruzzo","Italia"
"135","Maschio","46","Adulto","Italiano Editore","1991","laboriosam praesentium maxime","Fantasy","Teramo","Abruzzo","Italia"
"136","Maschio","46","Adulto","Deutsche Verlag","1979","reprehenderit sapiente culpa","Fantasy","Munich","Bavaria","Germania"
"137","Maschio","48","Adulto","American Publishers","1998","explicabo et corporis","Fantasy","Los Angeles","California","Stati Uniti"
"138","Maschio","48","Adulto","Taurinorum Editore","1996","libero modi quod","Fantasy","Torino","Piemonte","Italia"
"139","Femmina","47","Adulto","Mondadorium","2018","quaerat id eos","Fantasy","Biella","Piemonte","Italia"
"140","Maschio","48","Adulto","Francese Editions","2023","non voluptas itaque","Fantasy","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"141","Maschio","46","Adulto","Taurinorum Editore","2001","iste assumenda totam","Fantasy","Torino","Piemonte","Italia"
"142","Femmina","47","Adulto","Francese Editions","2020","laborum ipsum at","Fantasy","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"143","Maschio","48","Adulto","Italiano Editore","2012","asperiores ipsam quaerat","Fantasy","Teramo","Abruzzo","Italia"
"144","Maschio","48","Adulto","United Kingdom Press","2024","quo delectus voluptatibus","Fantasy","London","England","Regno Unito"
"145","Femmina","47","Adulto","Deutsche Verlag","2019","accusamus cum ad","Fantasy","Munich","Bavaria","Germania"
"146","Maschio","46","Adulto","United Kingdom Press","2015","ad id maiores","Fantasy","London","England","Regno Unito"
"147","Femmina","47","Adulto","Deutsche Verlag","1990","cupiditate omnis laborum","Fantasy","Munich","Bavaria","Germania"
"148","Maschio","46","Adulto","Italiano Editore","1984","doloribus quibusdam tempora","Fantasy","Teramo","Abruzzo","Italia"
"149","Maschio","46","Adulto","United Kingdom Press","2016","tenetur id numquam","Fantasy","London","England","Regno Unito"
"150","Maschio","48","Adulto","American Publishers","1988","voluptas alias eligendi","Fantasy","Los Angeles","California","Stati Uniti"
"151","Femmina","47","Adulto","Deutsche Verlag","2018","magnam eum modi","Fantasy","Munich","Bavaria","Germania"
"152","Maschio","46","Adulto","United Kingdom Press","1999","rerum esse nulla","Fantasy","London","England","Regno Unito"
"153","Maschio","46","Adulto","Francese Editions","2009","expedita tempore voluptatum","Fantasy","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"154","Maschio","46","Adulto","United Kingdom Press","2005","voluptate pariatur eum","Fantasy","London","England","Regno Unito"
"155","Maschio","46","Adulto","American Publishers","2009","fugiat quidem consectetur","Fantasy","Los Angeles","California","Stati Uniti"
"156","Maschio","46","Adulto","Francese Editions","2006","quod soluta labore","Fantasy","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"157","Maschio","48","Adulto","Taurinorum Editore","2005","debitis dicta doloribus","Fantasy","Torino","Piemonte","Italia"
"158","Maschio","46","Adulto","Francese Editions","1992","perferendis eveniet est","Fantasy","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"159","Femmina","47","Adulto","United Kingdom Press","1997","quasi reiciendis saepe","Fantasy","London","England","Regno Unito"
"160","Maschio","48","Adulto","Mondadorium","2015","incidunt totam non","Fantasy","Biella","Piemonte","Italia"
"161","Maschio","46","Adulto","Ediciones Espanolas","2011","praesentium recusandae amet","Fantasy","Barcelona","Catalonia","Spagna"
"162","Femmina","47","Adulto","Francese Editions","1986","saepe porro deleniti","Fantasy","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"163","Maschio","48","Adulto","Taurinorum Editore","2007","fuga corrupti officiis","Fantasy","Torino","Piemonte","Italia"
"164","Maschio","48","Adulto","American Publishers","2020","sit at error","Fantasy","Los Angeles","California","Stati Uniti"
"165","Maschio","46","Adulto","Ediciones Espanolas","2005","error nam officia","Fantasy","Barcelona","Catalonia","Spagna"
"166","Maschio","48","Adulto","Taurinorum Editore","1997","possimus nostrum omnis","Fantasy","Torino","Piemonte","Italia"
"167","Maschio","46","Adulto","United Kingdom Press","1980","ipsa atque repudiandae","Fantasy","London","England","Regno Unito"
"168","Femmina","47","Adulto","United Kingdom Press","2018","voluptates pariatur voluptate","Fantasy","London","England","Regno Unito"
"169","Maschio","48","Adulto","Ediciones Espanolas","2010","dolorem accusantium harum","Fantasy","Barcelona","Catalonia","Spagna"
"170","Maschio","48","Adulto","Italiano Editore","2000","vitae nihil fuga","Fantasy","Teramo","Abruzzo","Italia"
"171","Maschio","48","Adulto","United Kingdom Press","2020","impedit blanditiis unde","Fantasy","London","England","Regno Unito"
"172","Femmina","47","Adulto","Ediciones Espanolas","1982","dolores nesciunt optio","Fantasy","Barcelona","Catalonia","Spagna"
"173","Femmina","47","Adulto","Mondadorium","2002","hic iste nulla","Fantasy","Biella","Piemonte","Italia"
"174","Femmina","47","Adulto","Italiano Editore","2020","dolorem porro ut","Fantasy","Teramo","Abruzzo","Italia"
"175","Maschio","48","Adulto","Francese Editions","1986","saepe ut est","Fantasy","Bouches-du-Rhône","Provence-Alpes-Côte 'Azur","Francia"
"176","Maschio","48","Adulto","Deutsche Verlag","1992","provident aliquam quidem","Fantasy","Munich","Bavaria","Germania"
